address,category,name,symbol,OT,MT,Failing tests OT,Failing tests MT,% OTf,% MTf,OT duration,MT duration
0x622dFfCc4e83C64ba959530A5a5580687a57581b,[B1][B3][B7],CUBE,AUTO,OK,NOK,2,0,3.23,0.0,25.93s,22.61s
0x62a56a4A2Ef4D355D34D10fBF837e747504d38d4,[B5],paypex,PAYX,OK,OK,7,4,11.29,11.76,18.37s,16.13s
0x679BADc551626e01B23CeecEFBc9B877EA18fc46,[B1][B7],Ccore Token,CCO,OK,OK,22,11,35.48,32.35,17.91s,16.44s
0x6Aac8CB9861E42bf8259F5AbDC6aE3Ae89909E11,[A5],Bitcoin Red,BTCR,OK,OK,22,12,35.48,35.29,18.26s,16.20s
0x6aEB95F06CDA84cA345c2dE0F3B7f96923a44f4c,[A16],Berry,BERRY,OK,OK,3,2,4.84,5.88,19.31s,17.81s
0x6cCB56947eA1d6eFdc81ACfbAcd8263DDFa9b202,[B1][B2][B3],Royal Kingdom Coin,RKC,OK,OK,44,21,70.97,61.76,7.37s,5.23s
0x6ea6531b603F270d23d9EDd2d8279135DC5D6773,[B7],InsurChain Coin,INSUR,OK,OK,9,4,14.520000000000001,11.76,17.72s,16.72s
0x7703C35CfFdC5CDa8D27aa3df2F9ba6964544b6e,[A2][A6][B1],Pylon Token,PYLNT,OK,OK,39,18,62.9,52.94,19.14s,5.74s
0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,[B1][B2][B3],ATLANT Token,ATL,OK,OK,8,5,12.9,14.71,18.07s,16.91s
0x79650799e7899A802cB96C0Bc33a6a8d4CE4936C,[B1][B7],AIT,AIT,OK,OK,22,11,35.48,32.35,17.45s,15.87s
0x7C5A0CE9267ED19B22F8cae653F198e3E8daf098,[A2],SANtiment network token,SAN,OK,OK,22,12,35.48,35.29,19.34s,17.61s
0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,[A9],EthLend Token,LEND,OK,OK,23,13,37.1,38.24,19.62s,17.30s
0x81b4D08645DA11374a03749AB170836E4e539767,[B1][B2][B3],Paymon Token,PMNT,OK,OK,27,15,43.54999999999999,44.12,17.69s,16.26s
0x82b0E50478eeaFde392D45D1259Ed1071B6fDa81,[B1][B2][B3],DNA Token,DNA,OK,OK,8,5,12.9,14.71,19.09s,16.64s
0x8542325B72C6D9fC0aD2Ca965A78435413a915A0,[B1],Oyster Shell,SHL,OK,OK,20,11,32.79666666666666,32.35,19.99s,17.54s
